state,district,total_rainfall,average_rainfall
Andaman And Nicobar Islands,Nicobars,2760.66756,230.05562999999998
Andaman And Nicobar Islands,North And Middle Andaman,3160.18764,263.34897
Andaman And Nicobar Islands,South Andamans,3360.94296,280.07858
Andhra Pradesh,Anantapur,597.17000617,49.76416718083333
Andhra Pradesh,Chittoor,756.7400029998,63.061666916650005
Andhra Pradesh,East Godavari,973.235020036,81.10291833633333
Andhra Pradesh,Guntur,667.660011,55.63833425000001
Andhra Pradesh,Krishna,735.1999979,61.26666649166666
Andhra Pradesh,Kurnool,494.1200031,41.176666925
Andhra Pradesh,Prakasam,591.0500039899999,49.254166999166664
Andhra Pradesh,Spsr Nellore,768.7699911,64.064165925
Andhra Pradesh,Srikakulam,906.65000498,75.55416708166666
Andhra Pradesh,Visakhapatanam,844.519991,70.37666591666667
Andhra Pradesh,Vizianagaram,745.9299932,62.160832766666665
Andhra Pradesh,West Godavari,882.666894259,73.55557452158332
Andhra Pradesh,Y.S.R.,718.98000201,59.915000167500004
Arunachal Pradesh,Anjaw,2524.1500010990003,210.3458334249167
Arunachal Pradesh,Changlang,0.0,
Arunachal Pradesh,Dibang Valley,0.0,
Arunachal Pradesh,East Kameng,1880.3500201,156.69583500833332
Arunachal Pradesh,East Siang,0.0,
Arunachal Pradesh,Kamle,0.0,
Arunachal Pradesh,Kra Daadi,0.0,
Arunachal Pradesh,Kurung Kumey,0.0,
Arunachal Pradesh,Leparada,0.0,
Arunachal Pradesh,Lohit,2760.340011009,230.02833425075002
Arunachal Pradesh,Longding,3023.02006011,251.9183383425
Arunachal Pradesh,Lower Dibang Valley,0.0,
Arunachal Pradesh,Lower Siang,0.0,
Arunachal Pradesh,Lower Subansiri,0.0,
Arunachal Pradesh,Namsai,0.0,
Arunachal Pradesh,Pakke Kessang,1880.3500201,156.69583500833332
Arunachal Pradesh,Papum Pare,2424.3600099,202.030000825
Arunachal Pradesh,Shi Yomi,3609.7700002,300.8141666833333
Arunachal Pradesh,Siang,0.0,
Arunachal Pradesh,Tawang,1926.29000979,160.52416748250002
Arunachal Pradesh,Tirap,3023.02006011,251.9183383425
Arunachal Pradesh,Upper Siang,0.0,
Arunachal Pradesh,Upper Subansiri,2964.4100305,247.03416920833334
Arunachal Pradesh,West Kameng,1915.6099799899998,159.63416499916664
Arunachal Pradesh,West Siang,3609.7700002,300.8141666833333
Assam,Baksa,2695.35657072,224.61304756
Assam,Barpeta,3240.601906407,270.05015886725
Assam,Biswanath,1953.2000292,162.7666691
Assam,Bongaigaon,3160.23122025,263.3526016875
Assam,Cachar,3795.7206985000003,316.3100582083334
Assam,Charaideo,1949.649981,162.47083175
Assam,Chirang,3757.16333132,313.09694427666665
Assam,Darrang,1534.46326112,127.87193842666666
Assam,Dhemaji,2654.1500189999997,221.17916824999998
Assam,Dhubri,2851.91000199,237.6591668325
Assam,Dibrugarh,2223.67998,185.30666499999998
Assam,Dima Hasao,3111.7099804,259.30916503333333
Assam,Goalpara,2917.020001,243.0850000833333
Assam,Golaghat,1482.43921916,123.53660159666667
Assam,Hailakandi,3531.4712077721,294.28926731434166
Assam,Hojai,1654.64000899,137.88666741583333
Assam,Jorhat,1920.13000401,160.0108336675
Assam,Kamrup,2048.8481108,170.73734256666668
Assam,Kamrup Metro,1432.0134715,119.33445595833332
Assam,Karbi Anglong,0.0,
Assam,Karimganj,3333.040055,277.7533379166667
Assam,Kokrajhar,3238.34371179,269.8619759825
Assam,Lakhimpur,2702.3141776,225.19284813333334
Assam,Majuli,1920.13000401,160.0108336675
Assam,Marigaon,1455.38,121.28166666666668
Assam,Nagaon,1654.64000899,137.88666741583333
Assam,Nalbari,1945.65998899,162.13833241583333
Assam,Sivasagar,1949.649981,162.47083175
Assam,Sonitpur,1953.2000292,162.7666691
Assam,South Salmara Mancachar,2851.91000199,237.6591668325
Assam,Tinsukia,2391.2999819,199.27499849166668
Assam,Udalguri,1852.7835751799998,154.39863126499998
Assam,West Karbi Anglong,1586.7399989,132.22833324166666
Bihar,Araria,1237.36999801,103.11416650083333
Bihar,Arwal,664.539982,55.378331833333334
Bihar,Aurangabad,812.78999,67.73249916666667
Bihar,Banka,821.469996,68.455833
Bihar,Begusarai,913.6999899990001,76.14166583325
Bihar,Bhagalpur,958.22998799,79.85249899916667
Bihar,Bhojpur,503.1700111,41.930834258333334
Bihar,Buxar,790.9900014,65.91583345
Bihar,Darbhanga,1216.00998598,101.33416549833333
