crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,109.08,46.029999,2.1259999,1,2017,14,Chhattisgarh,91447,53486,16993,Durg,861.62999818,71.80249984833334
Minor Pulses,40.68,15.07,0.37799999,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,902.189989898,75.18249915816666
Minor Pulses,75.440002,36.639999,1.429,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,683.98998807,56.9991656725
Minor Pulses,90.309998,66.449997,1.0039999,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur,648.360000098,54.03000000816667
Minor Pulses,41.720001,13.07,1.558,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,624.520000099,52.04333334158333
Minor Pulses,34.98,12.75,0.829,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,580.88998821,48.407499017499994
Minor Pulses,161.95,205.42,38.689999,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur,826.8100011898,68.90083343248334
Minor Pulses,46.470001,37.209999,0.54000002,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat,962.1599880897999,80.17999900748332
Minor Pulses,21.4,20.290001,5.9299998,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara,953.0307088419801,79.41922573683168
Minor Pulses,125.88,148.14999,25.370001,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur,817.6700003,68.13916669166666
Minor Pulses,42.610001,31.450001,4.2199998,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni / Shivani,,
Minor Pulses,108.78,87.099998,0.44999999,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla,918.34000899,76.5283340825
Minor Pulses,217.57001,297.16,42.700001,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar,876.2600098,73.02166748333333
Minor Pulses,168.21001,212.03,2.4300001,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh,742.7499919998,61.89583266665
Minor Pulses,150.14999,146.75,4.8699999,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh,588.8100157998,49.06750131665
Minor Pulses,141.75999,143.25,10.88,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur,656.1299883,54.677499025
Minor Pulses,75.089996,68.209999,10.95,17,2017,6,Madhya Pradesh,6615,4493,54,Panna,795.4500015688001,66.28750013073333
Minor Pulses,58.630001,47.099998,0.75,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa,743.5399980039999,61.96166650033333
Minor Pulses,36.560001,27.27,0.44,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi,761.95000697,63.49583391416667
Minor Pulses,132.00999,102.89,1.88,20,2017,6,Madhya Pradesh,29067,15084,353,Satna,682.825976560111,56.902164713342586
Minor Pulses,61.990002,43.080002,22.129999,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol,722.060664115,60.171722009583334
Minor Pulses,7.25,4.73,4.4000001,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior,451.659987,37.63833225
Minor Pulses,127.62,108.69,4.25,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri,522.3500010097999,43.529166750816664
Minor Pulses,228.17,231.39,1.42,24,2017,6,Madhya Pradesh,29620,22561,315,Guna,656.2999909938,54.691665916149994
Minor Pulses,39.5,8.8400002,14.72,25,2017,6,Madhya Pradesh,21273,7790,249,Datia,455.03796772789997,37.919830643991666
Minor Pulses,36.459999,35.880001,0.5,26,2017,6,Madhya Pradesh,49982,18447,680,Morena,506.7599998,42.229999983333336
Minor Pulses,36.799999,55.380001,3.8800001,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind,527.0100021,43.917500174999994
Minor Pulses,6.2399998,5.7600002,0.94999999,28,2017,6,Madhya Pradesh,39595,20470,5622,Indore,732.7900099999999,61.06583416666666
Minor Pulses,22.4,19.93,4.7399998,29,2017,6,Madhya Pradesh,35385,17110,4806,Ratlam,820.26998708,68.35583225666666
Minor Pulses,28.879999,15.8,3.75,30,2017,6,Madhya Pradesh,42030,30956,5569,Ujjain,802.64999,66.88749916666667
Minor Pulses,74.269997,60.970001,9.7299995,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur,940.4800018039999,78.37333348366666
Minor Pulses,25.99,17.190001,1.75,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas,652.680010188,54.390000848999996
Minor Pulses,39.689999,31.370001,1.28,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar,763.659999699,63.63833330825
Minor Pulses,76.339996,27.969999,0.25999999,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua,893.7099888,74.4758324
Minor Pulses,85.419998,60.73,42.169998,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore,816.0899898,68.00749915
Minor Pulses,110.65,128.82001,6.8800001,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen,885.1600011998,73.76333343331667
Minor Pulses,253.72,302.57999,36.959999,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha,808.1800098,67.34833415
Minor Pulses,17.43,14.25,4.29,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul,706.3000020100001,58.85833350083334
Minor Pulses,80.949997,79.809998,42.0,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh,762.630020109,63.55250167575
Minor Pulses,75.370003,71.919998,39.639999,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur,761.0700202,63.42250168333334
Minor Pulses,262.07999,311.04999,85.540001,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad,861.3400001,71.77833334166667
Minor Pulses,113.74,61.810001,0.0,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,906.65000498,75.55416708166666
Minor Pulses,45.830002,31.959999,0.0,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatnam,,
Minor Pulses,41.200001,30.540001,0.0099999998,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,973.235020036,81.10291833633333
Minor Pulses,47.009998,37.470001,11.66,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari,882.666894259,73.55557452158332
Minor Pulses,157.81,181.77,0.0,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna,735.1999979,61.26666649166666
Minor Pulses,95.970001,90.489998,20.284,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,667.660011,55.63833425000001
Minor Pulses,28.440001,16.68,0.061000001,50,2017,1,Andhra Pradesh,98386,38207,20817,S.P.S. Nellore,,
Minor Pulses,30.959999,28.610001,9.2060003,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,494.1200031,41.176666925
Minor Pulses,14.15,5.0900002,0.2,52,2017,1,Andhra Pradesh,38288,26127,12070,Ananthapur,,
Minor Pulses,8.5500002,7.4099998,1.05,53,2017,1,Andhra Pradesh,47161,24126,12776,Kadapa YSR,,
Minor Pulses,23.940001,17.52,1.7,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,756.7400029998,63.061666916650005
Minor Pulses,12.14,7.6799998,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,1119.8199991000001,93.31833325833334
Minor Pulses,13.4,12.73,0.37099999,56,2017,20,Telangana,93054,30033,11208,Nizamabad,842.10002021,70.17500168416667
Minor Pulses,29.33,23.07,0.02,57,2017,20,Telangana,13194,8958,2670,Medak,918.33000999,76.5275008325
Minor Pulses,13.99,9.54,0.017000001,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,730.8286837080001,60.902390309000005
Minor Pulses,21.26,11.37,0.303,59,2017,20,Telangana,33043,14763,5605,Nalgonda,725.410019,60.45083491666667
Minor Pulses,18.370001,13.16,0.37200001,60,2017,20,Telangana,122203,31481,16202,Warangal,965.94999941,80.49583328416666
Minor Pulses,16.200001,9.8500004,1.079,61,2017,20,Telangana,15181,8795,3643,Khammam,928.23998741,77.35333228416667
Minor Pulses,6.23,5.7199998,0.132,62,2017,20,Telangana,12532,5973,1849,Karimnagar,767.4600009999999,63.955000083333324
Minor Pulses,12.68,9.3000002,0.033,63,2017,20,Telangana,59648,13502,6270,Adilabad,746.7200086,62.226667383333336
Minor Pulses,20.129999,14.89,0.20999999,64,2017,5,Karnataka,37554,15679,5330,Bangalore,,
Minor Pulses,27.66,32.369999,0.029999999,65,2017,5,Karnataka,29931,18362,7165,Kolar,1151.18,95.93166666666667
Minor Pulses,40.689999,13.67,0.14,66,2017,5,Karnataka,24548,13290,6346,Tumkur,,
Minor Pulses,165.91,80.93,0.02,67,2017,5,Karnataka,46920,23006,18188,Mysore,,
Minor Pulses,51.330002,24.17,0.0099999998,68,2017,5,Karnataka,49044,13855,9299,Mandya,820.6100028000001,68.38416690000001
Minor Pulses,37.990002,12.34,0.0099999998,69,2017,5,Karnataka,32894,19091,15439,Hassan,885.5400008,73.79500006666667
Minor Pulses,16.200001,8.1999998,1.48,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,610.02999892,50.83583324333333
Minor Pulses,3.8499999,2.96,1.53,73,2017,5,Karnataka,70669,37463,13491,Bellary,,
Minor Pulses,113.23,13.05,4.3000002,74,2017,5,Karnataka,62588,31066,12903,Dharwad,584.71999621,48.726666350833334
Minor Pulses,43.150002,15.01,0.61000001,75,2017,5,Karnataka,92878,39229,33264,Belgaum,,
Minor Pulses,65.129997,8.4300003,1.5700001,76,2017,5,Karnataka,73977,37407,23520,Bijapur / Vijayapura,,
Minor Pulses,67.190002,48.709999,0.0,77,2017,5,Karnataka,10275,8497,2388,Bidar,980.3699981,81.69749984166667
Minor Pulses,39.959999,11.27,2.03,78,2017,5,Karnataka,115832,62617,22756,Raichur,747.5600000000001,62.296666666666674
Minor Pulses,161.23,97.940002,0.11,79,2017,5,Karnataka,70290,46001,12551,Gulbarga / Kalaburagi,,
Minor Pulses,4.1799998,1.79,0.0,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada,1854.0199787,154.50166489166665
Minor Pulses,1.87,0.75,0.47999999,81,2017,5,Karnataka,8781,4050,3845,Uttara Kannada,1038.199987,86.51666558333334
Minor Pulses,,,,82,2017,5,Karnataka,19657,11983,13550,Kodagu / Coorg,,
Minor Pulses,145.84,130.12,0.037,84,2017,11,Tamil Nadu,85137,31903,28361,South Arcot / Cuddalore,,
