crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall,salinity_alkalinity_percent
Minor Pulses,109.08,46.029999,2.1259999,1,2017,14,Chhattisgarh,91447.0,53486.0,16993.0,Durg,861.62999818,71.80249984833334,0.0
Minor Pulses,40.68,15.07,0.37799999,2,2017,14,Chhattisgarh,21279.0,12584.0,4271.0,Bastar,902.189989898,75.18249915816666,0.0
Minor Pulses,75.440002,36.639999,1.429,3,2017,14,Chhattisgarh,92008.0,47721.0,15054.0,Raipur,683.98998807,56.9991656725,0.0
Minor Pulses,90.309998,66.449997,1.0039999,4,2017,14,Chhattisgarh,72926.0,29713.0,6915.0,Bilaspur,648.360000098,54.03000000816667,0.390813256
Minor Pulses,41.720001,13.07,1.558,5,2017,14,Chhattisgarh,31282.0,13620.0,3707.0,Raigarh,624.520000099,52.04333334158333,0.0
Minor Pulses,34.98,12.75,0.829,6,2017,14,Chhattisgarh,21139.0,11878.0,4438.0,Surguja,580.88998821,48.407499017499994,0.0
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,7,2017,6,Madhya Pradesh,62230.0,30800.0,2116.0,Jabalpur,826.8100011898,68.90083343248334,0.0
Minor Pulses,46.470001,37.209999,0.54000002,8,2017,6,Madhya Pradesh,18299.0,10688.0,575.0,Balaghat,962.1599880897999,80.17999900748332,0.0
Minor Pulses,21.4,20.290001,5.9299998,9,2017,6,Madhya Pradesh,57518.0,20108.0,6518.0,Chhindwara,953.0307088419801,79.41922573683168,0.0
Minor Pulses,125.88,75.172498675,9.78924999925,10,2017,6,Madhya Pradesh,21631.0,10429.0,2037.0,Narsinghpur,817.6700003,68.13916669166666,0.0
Minor Pulses,42.610001,31.450001,4.2199998,11,2017,6,Madhya Pradesh,48504.0,13250.0,1833.0,Seoni / Shivani,746.2916276455998,62.19096897046664,1.5196948612058823
Minor Pulses,108.78,75.172498675,0.44999999,12,2017,6,Madhya Pradesh,11207.0,4172.0,136.0,Mandla,918.34000899,76.5283340825,0.0
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,13,2017,6,Madhya Pradesh,20399.0,17510.0,506.0,Sagar,876.2600098,73.02166748333333,0.026945804
Minor Pulses,138.81499772499998,75.172498675,2.4300001,14,2017,6,Madhya Pradesh,10634.0,9534.0,115.0,Damoh,742.7499919998,61.89583266665,0.0
Minor Pulses,138.81499772499998,75.172498675,4.8699999,15,2017,6,Madhya Pradesh,8357.0,3862.0,98.0,Tikamgarh,588.8100157998,49.06750131665,0.0
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,16,2017,6,Madhya Pradesh,14565.0,11159.0,140.0,Chhatarpur,656.1299883,54.677499025,0.028967587
Minor Pulses,75.089996,68.209999,9.78924999925,17,2017,6,Madhya Pradesh,6615.0,4493.0,54.0,Panna,795.4500015688001,66.28750013073333,0.097995568
Minor Pulses,58.630001,47.099998,0.75,18,2017,6,Madhya Pradesh,26124.0,11848.0,200.0,Rewa,743.5399980039999,61.96166650033333,0.0
Minor Pulses,36.560001,27.27,0.44,19,2017,6,Madhya Pradesh,10828.0,4735.0,39.0,Sidhi,761.95000697,63.49583391416667,0.0
Minor Pulses,132.00999,75.172498675,1.88,20,2017,6,Madhya Pradesh,29067.0,15084.0,353.0,Satna,682.825976560111,56.902164713342586,0.077830968
Minor Pulses,61.990002,43.080002,9.78924999925,21,2017,6,Madhya Pradesh,10825.0,6431.0,163.0,Shahdol,722.060664115,60.171722009583334,0.0
Minor Pulses,7.25,4.73,4.4000001,22,2017,6,Madhya Pradesh,27042.0,12605.0,467.0,Gwalior,451.659987,37.63833225,7.497097925
Minor Pulses,127.62,75.172498675,4.25,23,2017,6,Madhya Pradesh,19578.0,13081.0,371.0,Shivpuri,522.3500010097999,43.529166750816664,0.234281321
Minor Pulses,138.81499772499998,75.172498675,1.42,24,2017,6,Madhya Pradesh,29620.0,22561.0,315.0,Guna,656.2999909938,54.691665916149994,0.0
Minor Pulses,39.5,8.8400002,9.78924999925,25,2017,6,Madhya Pradesh,21273.0,7790.0,249.0,Datia,455.03796772789997,37.919830643991666,7.39401972
Minor Pulses,36.459999,35.880001,0.5,26,2017,6,Madhya Pradesh,49982.0,18447.0,680.0,Morena,506.7599998,42.229999983333336,1.992025151
Minor Pulses,36.799999,55.380001,3.8800001,27,2017,6,Madhya Pradesh,28195.0,14286.0,258.0,Bhind,527.0100021,43.917500174999994,9.704449373
Minor Pulses,6.2399998,5.7600002,0.94999999,28,2017,6,Madhya Pradesh,39595.0,20470.0,5622.0,Indore,732.7900099999999,61.06583416666666,0.046443486
